Car_Name,Year,Selling_Price,Present_Price,Miles_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3350,5590,27000,Petrol,Dealer,Manual,0
sx4,2013,4750,9540,43000,Diesel,Dealer,Manual,0
ciaz,2017,7250,9850,6900,Petrol,Dealer,Manual,0
wagon r,2011,2850,4150,5200,Petrol,Dealer,Manual,0
swift,2014,4600,6870,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9250,9830,2071,Diesel,Dealer,Manual,0
ciaz,2015,6750,8120,18796,Petrol,Dealer,Manual,0
s cross,2015,6500,8610,33429,Diesel,Dealer,Manual,0
ciaz,2016,8750,8890,20273,Diesel,Dealer,Manual,0
ciaz,2015,7450,8920,42367,Diesel,Dealer,Manual,0
alto 800,2017,2850,3600,2135,Petrol,Dealer,Manual,0
ciaz,2015,6850,10380,51000,Diesel,Dealer,Manual,0
ciaz,2015,7500,9940,15000,Petrol,Dealer,Automatic,0
ertiga,2015,6100,7710,26000,Petrol,Dealer,Manual,0
dzire,2009,2250,7210,77427,Petrol,Dealer,Manual,0
ertiga,2016,7750,10790,43000,Diesel,Dealer,Manual,0
ertiga,2015,7250,10790,41678,Diesel,Dealer,Manual,0
ertiga,2016,7750,10790,43000,Diesel,Dealer,Manual,0
wagon r,2015,3250,5090,35500,CNG,Dealer,Manual,0
sx4,2010,2650,7980,41442,Petrol,Dealer,Manual,0
alto k10,2016,2850,3950,25000,Petrol,Dealer,Manual,0
ignis,2017,4900,5710,2400,Petrol,Dealer,Manual,0
sx4,2011,4400,8010,50000,Petrol,Dealer,Automatic,0
alto k10,2014,2500,3460,45280,Petrol,Dealer,Manual,0
wagon r,2013,2900,4410,56879,Petrol,Dealer,Manual,0
swift,2011,3000,4990,20000,Petrol,Dealer,Manual,0
swift,2013,4150,5870,55138,Petrol,Dealer,Manual,0
swift,2017,6000,6490,16200,Petrol,Individual,Manual,0
alto k10,2010,1950,3950,44542,Petrol,Dealer,Manual,0
ciaz,2015,7450,10380,45000,Diesel,Dealer,Manual,0
ritz,2012,3100,5980,51439,Diesel,Dealer,Manual,0
ritz,2011,2350,4890,54200,Petrol,Dealer,Manual,0
swift,2014,4950,7490,39000,Diesel,Dealer,Manual,0
ertiga,2014,6000,9950,45000,Diesel,Dealer,Manual,0
dzire,2014,5500,8060,45000,Diesel,Dealer,Manual,0
sx4,2011,2950,7740,49998,CNG,Dealer,Manual,0
dzire,2015,4650,7200,48767,Petrol,Dealer,Manual,0
800,2003,350,2280,127000,Petrol,Individual,Manual,0
alto k10,2016,3000,3760,10079,Petrol,Dealer,Manual,0
sx4,2003,2250,7980,62000,Petrol,Dealer,Manual,0
baleno,2016,5850,7870,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2550,3980,46706,Petrol,Dealer,Manual,0
sx4,2008,1950,7150,58000,Petrol,Dealer,Manual,0
dzire,2014,5500,8060,45780,Diesel,Dealer,Manual,0
omni,2012,1250,2690,50000,Petrol,Dealer,Manual,0
ciaz,2014,7500,12040,15000,Petrol,Dealer,Automatic,0
ritz,2013,2650,4890,64532,Petrol,Dealer,Manual,0
wagon r,2006,1050,4150,65000,Petrol,Dealer,Manual,0
ertiga,2015,5800,7710,25870,Petrol,Dealer,Manual,0
